[INFO] 2025-04-06 13:01:09 - Autoscaler initialized
[INFO] 2025-04-06 13:01:09 - Monitoring started
[INFO] 2025-04-06 13:01:10 - CPU usage: 9.7%
[INFO] 2025-04-06 13:01:10 - CPU usage: 9.7% � scaling down
[INFO] 2025-04-06 13:01:10 - Instance terminated
[INFO] 2025-04-06 13:01:21 - CPU usage: 7.9%
[INFO] 2025-04-06 13:01:32 - CPU usage: 6.9%
[INFO] 2025-04-06 13:01:43 - CPU usage: 7.4%
[INFO] 2025-04-06 13:01:54 - CPU usage: 2.7%
[INFO] 2025-04-06 13:02:05 - CPU usage: 2.2%
[INFO] 2025-04-06 13:02:36 - Autoscaler initialized
[INFO] 2025-04-06 13:02:36 - Monitoring started
[INFO] 2025-04-06 13:02:37 - CPU usage: 4.7%
[INFO] 2025-04-06 13:02:37 - CPU usage: 4.7% � scaling down
[INFO] 2025-04-06 13:02:37 - Instance terminated
[INFO] 2025-04-06 13:02:48 - CPU usage: 6.0%
[INFO] 2025-04-06 13:02:59 - CPU usage: 9.3%
[INFO] 2025-04-06 13:03:10 - CPU usage: 6.5%
[INFO] 2025-04-06 13:03:21 - CPU usage: 9.0%
[INFO] 2025-04-06 13:03:32 - CPU usage: 7.9%
[INFO] 2025-04-06 13:03:43 - CPU usage: 12.1%
[INFO] 2025-04-06 13:03:54 - CPU usage: 9.1%
[INFO] 2025-04-06 13:04:05 - CPU usage: 4.1%
[INFO] 2025-04-06 13:04:16 - CPU usage: 8.4%
[INFO] 2025-04-06 13:04:28 - CPU usage: 8.3%
[INFO] 2025-04-06 13:04:39 - CPU usage: 4.8%
[INFO] 2025-04-06 13:04:50 - CPU usage: 15.7%
[INFO] 2025-04-06 13:05:01 - CPU usage: 9.4%
[INFO] 2025-04-06 13:05:12 - CPU usage: 6.9%
[INFO] 2025-04-06 13:05:23 - CPU usage: 10.9%
[INFO] 2025-04-06 13:05:34 - CPU usage: 4.5%
[INFO] 2025-04-06 13:05:45 - CPU usage: 6.8%
[INFO] 2025-04-06 13:05:56 - CPU usage: 8.7%
[INFO] 2025-04-06 13:06:07 - CPU usage: 3.1%
[INFO] 2025-04-06 13:06:18 - CPU usage: 1.8%
[INFO] 2025-04-06 13:06:29 - CPU usage: 8.9%
[INFO] 2025-04-06 13:06:40 - CPU usage: 7.2%
[INFO] 2025-04-06 13:06:51 - CPU usage: 11.6%
[INFO] 2025-04-06 13:07:02 - CPU usage: 9.7%
[INFO] 2025-04-06 13:07:13 - CPU usage: 3.9%
[INFO] 2025-04-06 13:07:24 - CPU usage: 8.3%
[INFO] 2025-04-06 13:07:35 - CPU usage: 8.4%
[INFO] 2025-04-06 13:07:46 - CPU usage: 5.2%
[INFO] 2025-04-06 13:07:57 - CPU usage: 7.6%
[INFO] 2025-04-06 13:08:08 - CPU usage: 7.2%
[INFO] 2025-04-06 13:08:19 - CPU usage: 8.3%
[INFO] 2025-04-06 13:08:30 - CPU usage: 6.9%
[INFO] 2025-04-06 13:08:41 - CPU usage: 10.0%
[INFO] 2025-04-06 13:08:52 - CPU usage: 8.1%
[INFO] 2025-04-06 13:09:03 - CPU usage: 9.5%
